customer_id,age,gender,region,senior_citizen,partner,tenure_months,contract_type,payment_method,internet_service,monthly_charges,total_charges,avg_monthly_calls,data_usage_gb,support_tickets,streaming_tv,tech_support,online_backup,churn
CUST366047,44,Female,South,0,0,72,Two Year,Credit Card,DSL,114.3,8258.67,50,0.87,2,0,0,0,0
CUST755320,59,Male,East,0,0,62,Two Year,Electronic Check,DSL,37.11,2418.67,53,4.74,1,1,0,1,0
CUST762315,45,Female,East,0,1,5,One Year,Mailed Check,Fiber Optic,95.98,539.59,49,14.01,1,0,0,1,0
CUST187367,33,Other,South,0,0,23,Month-to-Month,Mailed Check,None,111.94,2562.22,38,29.42,1,0,1,0,1
CUST155720,32,Male,South,0,0,12,Two Year,Electronic Check,Fiber Optic,24.93,,42,4.64,3,0,0,1,0
CUST579628,64,Female,North,1,0,17,Month-to-Month,Credit Card,Fiber Optic,27.82,533.18,44,9.09,0,1,0,0,0
CUST512505,68,Female,North,1,1,12,Two Year,Credit Card,DSL,20.0,175.41,44,7.59,4,1,1,1,0
CUST106704,61,Male,North,1,0,12,Two Year,Mailed Check,DSL,41.51,505.85,60,1.38,2,1,1,0,0
CUST587890,72,Male,North,1,0,23,Month-to-Month,Credit Card,Fiber Optic,39.86,952.93,41,17.14,1,0,1,1,1
CUST107488,69,Male,East,1,1,6,One Year,Bank Transfer,DSL,56.65,286.26,39,8.79,1,0,0,1,1
CUST179669,74,Female,East,1,0,23,Month-to-Month,Credit Card,None,33.08,729.42,41,29.91,3,0,1,0,1
CUST817327,20,Other,North,0,0,9,Month-to-Month,Mailed Check,DSL,82.29,687.44,47,21.65,0,0,0,1,0
CUST939193,54,Female,West,0,1,10,Month-to-Month,Credit Card,None,65.76,760.85,50,3.91,1,1,1,0,0
CUST172878,68,Female,North,1,0,40,Two Year,Credit Card,Fiber Optic,75.61,3061.11,29,4.5,0,1,0,1,0
CUST449614,24,Female,West,0,1,1,Two Year,Electronic Check,Fiber Optic,90.74,54.56,39,9.24,1,1,1,0,0
CUST927218,38,Female,South,0,0,14,Month-to-Month,Bank Transfer,None,71.58,925.07,55,1.6,1,1,0,1,0
CUST388202,26,Female,East,0,1,15,Month-to-Month,Electronic Check,DSL,59.4,847.46,63,3.47,2,1,0,1,1
CUST774260,56,Male,East,0,0,19,One Year,Credit Card,DSL,44.47,813.45,57,20.65,3,0,1,1,0
CUST588453,35,Female,West,0,1,33,Month-to-Month,Credit Card,DSL,87.44,2857.7,43,1.99,1,1,0,1,0
CUST618880,21,Female,North,0,0,13,One Year,Electronic Check,DSL,71.76,972.49,43,9.48,2,1,0,1,0
CUST589871,42,Male,East,0,0,7,One Year,Bank Transfer,Fiber Optic,70.47,422.74,46,6.01,1,0,0,0,0
CUST400494,31,Female,West,0,1,64,Month-to-Month,Mailed Check,None,49.87,3245.98,51,2.69,1,0,0,0,1
CUST782244,67,Male,South,1,1,72,Month-to-Month,Electronic Check,DSL,72.51,5130.08,42,41.99,0,0,0,0,0
CUST335498,75,Female,South,1,0,1,One Year,Credit Card,None,45.46,41.71,43,20.92,2,1,0,1,0
CUST263226,26,Female,East,0,1,23,Month-to-Month,Credit Card,None,72.75,,36,3.72,1,0,0,0,0
CUST640764,43,Male,North,0,0,12,Month-to-Month,Mailed Check,Fiber Optic,58.38,750.29,36,18.46,2,1,1,0,0
CUST996944,70,Male,West,1,1,9,Month-to-Month,Credit Card,None,82.89,818.02,42,0.08,0,1,1,1,0
CUST325063,19,Male,East,0,0,12,Month-to-Month,Credit Card,Fiber Optic,31.79,421.89,37,3.9,4,1,0,1,0
CUST629874,37,Female,South,0,1,30,Two Year,Mailed Check,Fiber Optic,66.19,2007.81,26,1.37,1,1,1,0,0
CUST246897,45,Male,North,0,0,6,One Year,Credit Card,Fiber Optic,82.57,481.99,48,6.62,2,0,1,0,0
CUST819987,64,Female,West,1,0,72,One Year,Credit Card,Fiber Optic,66.86,4881.29,39,12.19,1,1,0,0,0
CUST052304,24,Male,East,0,0,18,Month-to-Month,Bank Transfer,DSL,29.44,479.92,48,2.25,1,0,0,0,0
CUST696525,61,Other,West,1,0,11,Month-to-Month,Electronic Check,DSL,46.39,532.61,42,3.28,5,0,0,1,0
CUST201688,25,Female,North,0,1,43,Month-to-Month,Bank Transfer,Fiber Optic,96.68,4211.5,45,5.98,1,1,1,0,0
CUST088589,64,Female,North,1,1,1,Two Year,Bank Transfer,DSL,63.23,109.04,40,11.96,2,1,1,1,0
CUST658821,52,Female,South,0,1,16,Month-to-Month,Credit Card,None,44.52,738.72,27,4.47,2,1,0,1,1
CUST700109,31,Female,North,0,0,13,One Year,Electronic Check,Fiber Optic,96.36,1277.71,45,11.04,2,0,1,0,0
CUST497288,34,Female,East,0,0,12,Month-to-Month,Electronic Check,DSL,103.74,1289.51,49,5.16,3,1,0,0,1
CUST309889,53,Male,West,0,1,12,Two Year,Credit Card,DSL,35.53,419.73,47,3.58,1,0,1,0,0
CUST761448,67,Male,North,1,1,1,Two Year,Bank Transfer,Fiber Optic,52.43,123.76,41,23.18,1,1,1,0,0
CUST760509,57,Male,North,0,1,4,Month-to-Month,Bank Transfer,DSL,56.39,328.41,46,5.79,1,1,0,0,0
CUST071231,21,Male,East,0,1,4,One Year,Bank Transfer,DSL,78.33,220.89,46,30.07,3,1,0,1,0
CUST278928,19,Male,West,0,1,72,Month-to-Month,Electronic Check,None,60.49,4335.64,38,4.38,1,1,1,1,0
CUST872601,23,Female,West,0,1,1,One Year,Credit Card,DSL,68.06,12.27,48,9.39,1,1,1,0,0
CUST493958,71,Other,South,1,0,5,Month-to-Month,Electronic Check,Fiber Optic,61.35,274.12,45,0.66,1,1,1,1,0
CUST649610,59,Male,South,0,0,72,Month-to-Month,Bank Transfer,DSL,120.0,8646.0,42,13.68,1,0,1,0,1
CUST360846,21,Female,West,0,1,29,Month-to-Month,Electronic Check,None,79.34,2324.35,50,19.04,3,0,1,1,0
CUST241816,71,Male,East,1,1,17,Two Year,Electronic Check,Fiber Optic,57.66,971.96,55,42.66,3,0,0,1,0
CUST169756,46,Female,East,0,0,2,Two Year,Credit Card,Fiber Optic,58.05,147.89,44,21.74,2,1,1,1,0
CUST758379,35,Female,South,0,0,33,Month-to-Month,Credit Card,Fiber Optic,76.83,2498.51,41,4.5,0,1,0,0,0
CUST476244,43,Female,North,0,1,4,One Year,Electronic Check,Fiber Optic,41.12,144.25,55,9.76,1,0,1,0,0
CUST687196,61,Other,East,1,1,33,Month-to-Month,Mailed Check,DSL,71.75,2400.16,42,10.75,2,0,1,0,1
CUST245568,51,Male,North,0,0,72,Month-to-Month,Credit Card,Fiber Optic,68.98,4950.16,38,0.7,0,1,1,1,0
CUST450601,27,Female,East,0,1,22,Two Year,Mailed Check,DSL,43.38,,36,0.91,1,1,1,0,0
CUST159472,53,Female,West,0,1,7,Month-to-Month,Credit Card,Fiber Optic,20.0,251.59,51,4.73,0,1,1,0,0
CUST890352,31,Male,South,0,1,29,One Year,Bank Transfer,Fiber Optic,21.58,,44,16.37,1,1,0,1,0
CUST365874,48,Female,North,0,0,21,Month-to-Month,Mailed Check,Fiber Optic,59.26,1252.66,62,4.03,1,1,1,1,0
CUST939192,65,Male,North,1,1,22,Month-to-Month,Bank Transfer,DSL,87.68,1973.48,37,24.87,1,0,0,1,0
CUST891174,32,Female,West,0,1,19,Month-to-Month,Bank Transfer,DSL,53.77,1042.49,50,12.43,1,1,0,1,0
CUST340024,25,Male,East,0,0,33,Two Year,Electronic Check,None,86.65,2780.04,58,7.58,1,0,0,0,0
CUST601276,31,Male,North,0,1,25,Two Year,Bank Transfer,None,55.83,1403.49,43,9.33,0,1,1,0,0
CUST886867,40,Female,East,0,0,72,Month-to-Month,Bank Transfer,None,38.72,2751.83,38,4.83,0,0,1,0,1
CUST473927,74,Female,West,1,0,52,Two Year,Bank Transfer,Fiber Optic,33.04,1723.79,43,43.76,1,0,0,1,0
CUST479872,57,Male,South,0,0,9,Two Year,Bank Transfer,DSL,41.84,396.74,56,2.32,1,0,0,1,0
CUST873749,38,Male,North,0,0,38,Month-to-Month,Electronic Check,None,68.52,2651.31,42,23.63,0,1,0,0,0
CUST521207,33,Female,East,0,0,7,Month-to-Month,Electronic Check,DSL,63.86,397.73,42,13.6,1,1,0,0,0
CUST378501,62,Male,North,1,1,45,Month-to-Month,Bank Transfer,DSL,58.8,2598.35,44,14.92,0,1,0,0,0
CUST499373,35,Male,East,0,0,4,Month-to-Month,Mailed Check,DSL,59.84,215.64,51,21.68,0,1,0,1,0
CUST260559,64,Female,East,1,1,19,One Year,Credit Card,Fiber Optic,92.63,1833.1,53,1.76,1,1,0,0,0
CUST970727,70,Female,East,1,1,46,Month-to-Month,Mailed Check,DSL,111.99,5133.34,55,14.26,0,1,1,0,1
CUST540535,41,Male,West,0,0,9,Month-to-Month,Bank Transfer,Fiber Optic,46.55,445.74,41,17.97,1,1,0,0,1
CUST834773,43,Female,South,0,0,54,Month-to-Month,Electronic Check,DSL,60.3,3253.26,50,50.09,2,0,1,0,0
CUST313033,42,Female,North,0,1,30,Month-to-Month,Bank Transfer,DSL,34.47,1014.22,37,16.52,0,1,0,0,0
CUST342298,62,Female,South,1,1,15,One Year,Bank Transfer,Fiber Optic,64.64,976.27,42,36.38,4,0,0,1,0
CUST301706,58,Female,East,0,0,16,One Year,Electronic Check,DSL,57.13,953.63,52,22.74,1,1,0,0,0
CUST361799,46,Male,East,0,0,72,Month-to-Month,Mailed Check,None,70.37,5100.09,52,25.02,2,1,1,1,0
CUST091370,32,Male,South,0,1,7,Month-to-Month,Credit Card,None,86.96,548.26,46,29.86,3,1,0,0,0
CUST843402,62,Male,South,1,0,35,Month-to-Month,Bank Transfer,DSL,34.76,1233.28,39,9.09,0,1,0,0,1
CUST291075,18,Female,North,0,1,36,Two Year,Electronic Check,None,59.69,2230.23,39,14.9,2,0,0,0,0
CUST521837,42,Male,East,0,1,72,Month-to-Month,Credit Card,Fiber Optic,58.08,4196.67,47,1.59,2,1,0,1,1
CUST516505,24,Female,South,0,0,37,Month-to-Month,Credit Card,Fiber Optic,68.97,2608.42,49,5.29,1,1,1,1,1
CUST920875,26,Male,West,0,0,26,Month-to-Month,Credit Card,Fiber Optic,100.01,2687.3,36,25.38,2,0,0,0,0
CUST545905,41,Male,East,0,0,69,Month-to-Month,Electronic Check,None,48.74,,43,45.63,1,0,1,1,0
CUST368247,18,Female,East,0,1,53,Month-to-Month,Bank Transfer,DSL,80.23,4249.08,54,1.42,0,0,1,1,0
CUST043946,61,Male,North,1,0,37,One Year,Electronic Check,DSL,106.8,3973.27,51,10.59,0,0,1,1,0
CUST792867,25,Male,West,0,0,1,Two Year,Bank Transfer,Fiber Optic,43.85,108.22,47,15.92,1,1,1,1,0
CUST267965,41,Female,North,0,1,14,Month-to-Month,Mailed Check,DSL,68.68,953.58,42,8.71,2,1,1,1,0
CUST489345,28,Male,West,0,0,29,One Year,Credit Card,DSL,68.46,1928.11,37,3.18,2,1,1,0,0
CUST471605,68,Female,North,1,1,22,One Year,Bank Transfer,Fiber Optic,32.59,735.07,40,0.51,0,1,1,1,0
CUST119955,34,Female,West,0,1,11,Month-to-Month,Mailed Check,Fiber Optic,79.48,,44,36.31,4,0,0,1,0
CUST180247,25,Male,West,0,1,4,Month-to-Month,Electronic Check,DSL,93.07,392.25,32,3.24,3,1,1,1,0
CUST612967,52,Female,West,0,1,24,Month-to-Month,Credit Card,DSL,48.3,1181.14,49,4.26,4,0,0,0,1
CUST940200,52,Female,South,0,1,10,Two Year,Bank Transfer,Fiber Optic,57.76,,41,12.35,0,1,1,1,0
CUST286604,50,Male,East,0,0,7,Two Year,Credit Card,DSL,21.33,137.54,44,6.72,2,1,0,0,0
CUST571295,22,Male,West,0,0,15,Month-to-Month,Credit Card,Fiber Optic,91.3,1433.04,51,6.61,0,0,1,1,0
CUST169571,59,Male,South,0,0,46,Month-to-Month,Credit Card,None,86.63,3895.97,39,1.03,6,0,0,1,1
CUST787963,56,Female,South,0,1,20,Two Year,Electronic Check,None,41.11,826.69,44,57.76,2,1,1,0,0
CUST878295,75,Male,North,1,0,7,Month-to-Month,Credit Card,Fiber Optic,43.94,258.47,36,4.02,1,1,0,1,0
CUST041583,58,Female,East,0,1,3,Two Year,Bank Transfer,DSL,55.06,163.53,47,1.4,2,1,1,0,0
CUST085035,45,Female,East,0,1,20,Month-to-Month,Electronic Check,DSL,97.3,1959.2,49,13.73,2,1,0,0,0
CUST490822,24,Female,North,0,0,47,Two Year,Mailed Check,Fiber Optic,63.2,,41,16.74,4,0,1,1,0
CUST123090,26,Male,East,0,1,31,Two Year,Bank Transfer,None,68.79,2139.71,47,0.31,1,0,0,1,0
CUST221927,25,Male,North,0,0,7,Month-to-Month,Electronic Check,DSL,68.8,551.11,54,3.76,2,1,0,0,0
CUST488672,29,Female,South,0,1,17,One Year,Bank Transfer,DSL,99.32,1693.67,36,2.59,1,0,1,0,0
CUST309628,51,Male,South,0,1,57,Month-to-Month,Bank Transfer,Fiber Optic,55.67,3120.24,45,18.66,0,1,0,1,1
CUST433118,50,Male,West,0,0,5,Month-to-Month,Mailed Check,DSL,61.61,359.78,55,2.44,0,0,0,0,0
CUST451280,65,Male,North,1,0,22,One Year,Electronic Check,DSL,94.36,2092.73,46,3.22,0,0,1,1,0
CUST171781,72,Male,South,1,1,13,Month-to-Month,Credit Card,None,94.09,1175.17,47,51.96,2,1,1,1,1
CUST540378,40,Female,South,0,1,3,One Year,Bank Transfer,DSL,38.89,153.22,44,14.53,1,1,0,0,0
CUST087799,41,Male,North,0,1,1,Month-to-Month,Bank Transfer,DSL,20.0,0.0,41,,0,1,0,1,0
CUST674349,54,Male,South,0,0,24,One Year,Bank Transfer,Fiber Optic,64.82,1602.44,46,16.82,2,0,1,0,0
CUST920048,52,Male,East,0,0,1,Month-to-Month,Bank Transfer,Fiber Optic,81.17,18.09,43,7.54,3,0,0,0,1
CUST247480,61,Female,South,1,0,3,Two Year,Bank Transfer,DSL,72.88,212.38,45,2.87,0,1,0,0,0
CUST415586,57,Female,North,0,1,12,Month-to-Month,Electronic Check,Fiber Optic,49.7,617.89,42,8.03,0,1,1,0,1
CUST824018,39,Male,East,0,0,1,Month-to-Month,Bank Transfer,Fiber Optic,111.6,58.26,47,17.74,0,1,0,0,0
CUST117252,44,Female,East,0,0,15,Month-to-Month,Bank Transfer,Fiber Optic,38.28,600.43,45,2.36,1,1,1,0,1
CUST882733,52,Female,South,0,1,4,Month-to-Month,Bank Transfer,DSL,30.91,175.26,48,7.98,3,0,0,0,0
CUST133626,18,Female,West,0,1,12,Month-to-Month,Credit Card,DSL,93.86,1116.17,32,1.52,5,0,0,0,1
CUST120163,52,Female,East,0,0,46,Month-to-Month,Credit Card,Fiber Optic,54.49,2526.31,41,22.19,1,1,0,1,1
CUST683301,54,Male,North,0,1,29,Two Year,Electronic Check,Fiber Optic,107.46,3076.69,56,20.5,1,0,0,0,0
CUST282874,64,Male,West,1,1,17,Month-to-Month,Bank Transfer,Fiber Optic,58.76,1142.01,49,13.43,3,1,0,0,0
CUST099431,31,Male,West,0,0,2,Two Year,Bank Transfer,Fiber Optic,55.3,110.91,53,30.31,0,1,0,1,0
CUST955620,20,Male,East,0,0,28,One Year,Mailed Check,Fiber Optic,77.42,2184.21,43,,0,0,1,0,0
CUST145771,18,Other,South,0,0,5,Month-to-Month,Credit Card,DSL,86.38,418.48,44,1.7,0,0,0,1,0
CUST395460,22,Male,West,0,1,2,One Year,Mailed Check,None,119.01,205.0,35,44.57,2,1,1,0,0
CUST038112,43,Male,South,0,1,32,Two Year,Bank Transfer,None,86.55,2817.83,42,8.64,1,0,1,1,0
CUST218256,72,Female,East,1,0,72,Month-to-Month,Bank Transfer,Fiber Optic,91.78,6487.6,40,7.74,0,1,0,1,0
CUST245312,31,Female,North,0,0,18,Two Year,Mailed Check,DSL,50.53,818.28,52,0.79,3,1,1,1,0
CUST817212,56,Male,West,0,1,1,Month-to-Month,Electronic Check,Fiber Optic,88.97,104.98,44,10.14,2,1,0,0,1
CUST784734,44,Male,North,0,1,63,One Year,Electronic Check,Fiber Optic,80.64,5061.93,48,12.42,2,1,1,0,0
CUST705272,26,Male,South,0,1,2,Month-to-Month,Mailed Check,DSL,50.46,143.2,37,7.69,2,1,0,1,1
CUST129986,32,Female,South,0,1,60,Month-to-Month,Bank Transfer,Fiber Optic,30.61,1810.73,42,28.95,0,1,1,0,0
CUST339552,32,Male,North,0,1,14,One Year,Mailed Check,Fiber Optic,42.43,510.4,51,16.28,0,0,0,1,0
CUST337824,43,Male,East,0,1,13,Month-to-Month,Credit Card,Fiber Optic,52.09,673.79,41,0.47,0,0,1,1,0
CUST752528,59,Female,East,0,0,23,Month-to-Month,Electronic Check,DSL,60.14,1369.82,54,9.39,1,0,1,0,0
CUST111812,30,Male,West,0,0,72,Month-to-Month,Mailed Check,DSL,83.65,5968.47,47,60.76,1,1,0,0,0
CUST149038,68,Female,West,1,0,68,One Year,Electronic Check,Fiber Optic,88.67,6069.05,57,2.67,3,0,1,0,0
CUST067712,49,Female,East,0,1,19,One Year,Credit Card,None,108.72,2083.54,51,11.52,4,0,1,0,0
CUST536373,56,Male,East,0,1,35,Month-to-Month,Bank Transfer,Fiber Optic,75.66,2598.85,38,3.83,2,0,0,1,0
CUST328150,66,Female,North,1,1,26,Month-to-Month,Bank Transfer,Fiber Optic,28.67,668.84,52,5.57,5,1,0,1,0
CUST401028,69,Female,South,1,0,35,Two Year,Bank Transfer,DSL,42.48,1504.48,49,0.41,2,0,0,1,0
CUST153770,49,Male,South,0,0,53,Two Year,Electronic Check,Fiber Optic,59.27,3093.53,47,13.97,1,0,0,1,0
CUST009556,21,Female,West,0,0,1,Month-to-Month,Credit Card,None,91.77,43.8,48,17.42,1,0,0,1,0
CUST635036,47,Female,East,0,0,11,Month-to-Month,Mailed Check,Fiber Optic,80.54,880.5,47,17.79,1,1,1,1,1
CUST380230,54,Female,North,0,1,72,Month-to-Month,Bank Transfer,None,46.02,3316.07,50,42.3,2,0,0,1,0
CUST199495,40,Male,West,0,1,72,Two Year,Electronic Check,Fiber Optic,37.16,2700.6,41,21.83,2,1,1,1,0
CUST918536,56,Other,North,0,0,1,Two Year,Bank Transfer,Fiber Optic,49.14,101.99,43,2.79,0,1,1,0,1
CUST177834,62,Male,East,1,0,6,Month-to-Month,Credit Card,DSL,34.07,181.25,49,3.15,1,0,1,0,0
CUST436330,32,Male,East,0,1,72,Two Year,Mailed Check,DSL,62.01,4494.03,53,17.53,2,1,0,1,0
CUST724810,60,Male,East,1,0,20,Month-to-Month,Bank Transfer,DSL,76.12,1513.76,42,,0,0,0,0,0
CUST386917,46,Male,South,0,1,25,Month-to-Month,Credit Card,Fiber Optic,72.4,1868.79,46,1.58,1,0,0,0,0
CUST750965,53,Female,East,0,0,5,Two Year,Electronic Check,DSL,53.12,223.2,66,0.08,0,0,0,1,0
CUST517717,30,Male,West,0,0,67,Two Year,Credit Card,Fiber Optic,65.7,4428.4,50,6.16,3,1,1,0,0
CUST974292,49,Male,South,0,0,7,Two Year,Electronic Check,None,32.34,185.03,50,14.24,2,1,1,0,0
CUST669535,24,Female,North,0,0,6,Month-to-Month,Bank Transfer,Fiber Optic,47.86,241.78,43,24.18,4,0,1,0,0
CUST011005,68,Male,West,1,1,7,Month-to-Month,Bank Transfer,DSL,72.78,486.61,36,2.17,2,0,0,0,0
CUST952778,39,Male,West,0,0,72,Two Year,Credit Card,None,120.0,8534.89,42,20.27,2,1,1,1,0
CUST395494,45,Male,North,0,0,36,One Year,Electronic Check,Fiber Optic,98.68,3601.65,49,13.84,1,1,1,1,0
CUST022233,19,Male,South,0,1,43,Month-to-Month,Credit Card,Fiber Optic,32.29,1344.66,42,2.18,2,1,0,0,1
CUST362276,59,Male,West,0,0,14,Month-to-Month,Credit Card,None,86.11,1182.49,39,24.79,1,1,1,0,0
CUST750016,62,Female,West,1,0,71,Two Year,Bank Transfer,None,69.38,4877.93,44,32.43,0,1,0,0,0
CUST674249,74,Male,West,1,1,46,Two Year,Bank Transfer,Fiber Optic,70.08,3271.32,43,,1,0,1,1,0
CUST093322,70,Male,South,1,1,41,One Year,Bank Transfer,Fiber Optic,120.0,4933.35,45,1.93,0,1,0,0,0
CUST321105,23,Female,South,0,1,72,One Year,Credit Card,Fiber Optic,52.87,3833.9,48,41.16,2,1,1,0,0
CUST233706,45,Female,South,0,0,13,Month-to-Month,Credit Card,Fiber Optic,78.2,1025.06,49,0.28,1,1,1,1,0
CUST228820,45,Male,West,0,0,28,One Year,Mailed Check,Fiber Optic,84.21,2366.31,41,35.57,0,0,0,0,0
CUST410813,61,Female,East,1,0,72,One Year,Mailed Check,Fiber Optic,47.63,3445.81,45,2.92,3,1,0,1,0
CUST247215,61,Male,North,1,0,46,Month-to-Month,Credit Card,Fiber Optic,20.0,967.46,44,6.92,1,0,1,0,0
CUST614254,37,Female,East,0,1,24,Two Year,Mailed Check,Fiber Optic,31.77,705.02,43,4.42,2,1,0,0,0
CUST920422,47,Female,South,0,1,2,Two Year,Credit Card,DSL,71.37,,37,2.0,0,0,0,1,0
CUST400425,28,Male,West,0,1,31,Month-to-Month,Bank Transfer,Fiber Optic,87.41,2657.04,43,5.22,2,1,0,0,1
CUST841936,75,Female,West,1,0,22,Two Year,Electronic Check,Fiber Optic,78.53,1757.61,49,,0,1,1,0,0
CUST966804,72,Male,East,1,1,6,One Year,Bank Transfer,None,78.23,491.41,39,1.18,2,1,0,0,0
CUST821788,45,Female,East,0,1,64,One Year,Credit Card,DSL,73.36,4730.85,40,19.88,5,1,0,0,0
CUST723212,42,Male,North,0,0,12,Two Year,Bank Transfer,None,44.34,404.53,34,19.34,2,1,0,1,0
CUST658115,56,Female,West,0,1,14,Month-to-Month,Credit Card,None,64.31,878.66,41,19.16,1,0,1,0,0
CUST794738,50,Female,East,0,1,33,Two Year,Credit Card,Fiber Optic,80.7,2544.14,43,13.92,1,1,0,0,0
CUST473635,18,Female,North,0,1,20,Month-to-Month,Mailed Check,Fiber Optic,76.78,1633.15,41,7.29,1,1,1,0,0
CUST886536,74,Male,South,1,1,2,Two Year,Credit Card,Fiber Optic,105.98,218.32,44,21.53,0,1,0,1,0
CUST720265,44,Female,East,0,0,14,Month-to-Month,Electronic Check,None,50.45,665.36,45,22.91,2,1,0,1,0
CUST922983,74,Female,South,1,0,2,Month-to-Month,Mailed Check,Fiber Optic,50.91,95.7,41,4.03,0,1,1,1,1
CUST808594,69,Female,North,1,0,6,Month-to-Month,Electronic Check,DSL,47.44,283.72,46,7.87,2,0,0,1,1
CUST173065,30,Female,South,0,1,1,Month-to-Month,Credit Card,Fiber Optic,20.0,118.85,58,2.72,2,0,0,1,0
CUST461642,58,Female,West,0,0,6,Month-to-Month,Bank Transfer,Fiber Optic,80.35,472.5,53,3.55,0,0,0,0,0
CUST526930,20,Male,West,0,1,12,Month-to-Month,Credit Card,DSL,65.11,790.55,33,3.28,1,0,0,1,0
CUST289472,56,Male,South,0,1,23,Two Year,Credit Card,Fiber Optic,58.91,1325.24,41,21.05,3,0,0,1,0
CUST219617,23,Female,West,0,1,72,Two Year,Bank Transfer,DSL,44.62,3318.02,53,3.47,2,0,1,1,0
